,0,1,2,3,4,5,6,7,8,9
12,-2.701833821812068e-10,-2.251609951047141e-10,-2.0624913872657828e-10,-2.09356173534955e-10,-2.0935617374384126e-10,-2.09356173867518e-10,-2.3640703942857997e-10,-2.451156262501337e-10,0.0,-2.782146820140973e-10
13,-1.5540093295255038e-10,-1.295598833193724e-10,-1.1859169346018416e-10,-1.2130770458891551e-10,-1.2130770467477355e-10,-1.2130770472550785e-10,-1.3800728190938298e-10,-1.4309786422441845e-10,0.0,-1.599901577359871e-10
14,-2.7782284229523563e-08,-2.3160553415722074e-08,-2.1162827328483027e-08,-2.167625515815978e-08,-2.1676258374292634e-08,-2.167626023813019e-08,-2.49114694779167e-08,-2.5761480538723392e-08,0.0,-2.8593896467446055e-08
15,-1.3000850166915244e-10,-1.0850611413894451e-10,-9.897349900241894e-11,-1.0137079572996741e-10,-1.0137079578104664e-10,-1.0137079581130573e-10,-1.170954562975412e-10,-1.2062911599357597e-10,0.0,-1.3372525511879117e-10
16,-3.6777088758654496e-08,-3.0701522971454245e-08,-2.7905685895401448e-08,-2.865738296239293e-08,-2.8657392382649525e-08,-2.865739754448101e-08,-3.3396209302133774e-08,-3.4477075098206064e-08,0.0,-3.7799212378396704e-08
17,-3.3831190970741535e-08,-2.8013244257589243e-08,-2.5134981057805052e-08,-2.6461490055105785e-08,-2.646150308304638e-08,-2.6461510102875975e-08,-3.232294815095177e-08,-3.3706292814141544e-08,0.0,-3.475550481357136e-08
18,-3.5790936285582504e-10,-2.955693497342259e-10,-2.645375864854347e-10,-2.8134309047022374e-10,-2.813430908758367e-10,-2.813430911159176e-10,-3.484031080240245e-10,-3.6403562531127734e-10,0.0,-3.6752541968723075e-10
19,-2.522053179982042e-08,-2.0924331523759374e-08,-1.876399210371195e-08,-1.995407228858123e-08,-1.9954084074610588e-08,-1.9954090496792794e-08,-2.459211937421751e-08,-2.5643610623915392e-08,0.0,-2.5877043524500044e-08
20,-6.723066526143728e-08,-5.605428176521872e-08,-5.034070001763947e-08,-5.3475722739131345e-08,-5.347583946988276e-08,-5.347589963567655e-08,-6.558679168437033e-08,-6.82561826294534e-08,0.0,-6.892862479243231e-08
21,-1.9817018671187118e-08,-1.673190431443503e-08,-1.514519224642105e-08,-1.581010699185604e-08,-1.5810109676197048e-08,-1.5810111158506824e-08,-1.87960817292346e-08,-1.942457737074958e-08,0.0,-2.0296641767498705e-08
22,-1.988832560957957e-10,-1.6880937337145153e-10,-1.5380342124434182e-10,-1.5951288033163988e-10,-1.5951288042043606e-10,-1.5951288047200912e-10,-1.8629806122109613e-10,-1.919491390601349e-10,0.0,-2.036978131020555e-10
23,-1.0890513469658774e-08,-9.298426672495845e-09,-8.538290928589713e-09,-8.829143807517876e-09,-8.829144607897625e-09,-8.829145063479378e-09,-1.0134827961254532e-08,-1.0505540439560681e-08,0.0,-1.11558543056917e-08
24,-8.84132285350436e-08,-7.641392138841862e-08,-7.119882611883028e-08,-7.302555777857176e-08,-7.302569778385479e-08,-7.302577715033034e-08,-8.18654155550137e-08,-8.430827285038521e-08,0.0,-9.057562254425118e-08
