Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min),"Slack yes,no",Slack Weight
2.0,1.0499999962108693,3.05030143785642,15.800000000273394,,-0.8444939700000734,5.827061143931219e-20,40.0,-40.0,0.0,0.0
2.0,1.04999998474154,-2.890574494230317,12.029999999445904,,9.138681212704245,3.006958947801737,50.0,-50.0,0.0,0.0
2.0,1.049283597356136,-5.079881149700356,0.829999999905566,,1.258476261563849,0.41364114392095463,20.0,-20.0,0.0,0.0
2.0,1.0499999999476617,-1.9995959878565104,2.199999998283452,,1.8296855826261722,0.6013885684841503,30.0,-30.0,0.0,0.0
2.0,1.0499999999769476,-1.976369777931781,2.4368269602659587,,0.8949566061798442,0.4879481875850129,20.0,-20.0,0.0,0.0
2.0,1.0469864231056976,-6.641161569204841,2.29999999993688,,7.020125395542715,2.308575379565025,10.0,-10.0,0.0,0.0
3.0,1.0499999951644243,1.452932557251287,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.0499999999908392,-1.9430020687879387e-07,18.010000001833887,,1.9647466002987912,0.6457809782224219,70.0,-70.0,0.0,0.0
2.0,1.0499455961400177,-1.954431723941536,10.969999987038882,,11.66747424183449,3.9092626220765383,30.0,-30.0,0.0,0.0
2.0,1.049558119409246,-2.547700416478918,0.5699999991870485,,3.2519573598954814,1.0722706888444902,20.0,-20.0,0.0,0.0
3.0,1.0497349309987245,-2.0097102679138974,0.0,,1.4277119834842023,0.46926623574464493,,,0.0,0.0
3.0,1.0475557015929635,-2.2416996030991934,0.0,,11.262776735237718,3.7060943399657913,,,0.0,0.0
2.0,1.0494626796035669,-2.220708283309924,1.1199999976433528,,1.8550254050235537,0.609717365334225,10.0,-10.0,0.0,0.0
3.0,1.0493648121029744,-2.53853433336144,0.0,,2.5174875984577794,0.8423562258230116,,,0.0,0.0
3.0,1.0499999999807144,1.625425017176731,0.0,,0.0,0.0,,,0.0,0.0
3.0,1.0499999999911478,3.0503014253464182,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.0499809152148634,2.95116514792516,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.0499999999800305,1.4529325341486747,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.0492835973501533,-5.079881149668629,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.047330120215428,-7.407838035596317,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.046986423095274,-6.6411615691435415,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.046986423101069,-6.64116156917888,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.0469864231048416,-6.641161569200789,0.0,,0.0,0.0,,,1.0,1.0
2.0,1.0495581194021202,-2.547700416443552,0.0,,0.0,0.0,,,1.0,1.0
2.0,,,,,0.0,0.0,1000.0,-1000.0,0.0,0.0
2.0,,,,,0.0,0.0,1000.0,-1000.0,0.0,0.0
1.0,1.049999461040303,0.0,0.0,,0.0,0.0,,,1.0,1.0
3.0,1.049212755666116,-1.9391440860395104,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.0486795841498269,-1.8010616920233424,1.0663326667539048,,1.8546888811061448,0.6096067552715602,10.0,-10.0,0.0,0.0
2.0,1.0479976833612945,-1.5194753884255645,7.361309940271652e-09,,1.7193498017078326,0.6230236731347609,20.0,-20.0,0.0,0.0
3.0,1.0473011922259137,0.8976206267059899,0.0,,1.5453863363257363,0.5079439251108664,,,0.0,0.0
3.0,1.047926450413262,-1.7608140174050009,0.0,,0.3186352965636011,0.21300381793717948,,,0.0,0.0
2.0,1.0499899806557564,1.5177667236581858,3.865141015656693e-07,,2.006457709284242,0.7969605789113358,40.0,-40.0,0.0,0.0
3.0,1.0493987126427216,-0.0959125276141172,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.0491227203754288,1.181103873831762,0.5000001439910247,,0.7540918509610495,0.3135321162718313,20.0,-20.0,0.0,0.0
2.0,1.0491584199900077,-0.69834433342977,0.47999999854971087,,0.9917879097039924,0.33489056777803505,10.0,-10.0,0.0,0.0
2.0,1.049999891223331,-1.8744808098636256,4.48032963012208,,3.6526237778446573,1.2009856019997769,30.0,-30.0,0.0,0.0
2.0,1.0499999697465474,-1.8296930792910444,5.295574537344939,,1.5982228823649274,0.5752437392806605,40.0,-40.0,0.0,0.0
